n,sd,variability,zcorr,zerr1,zerr2,tcorr,terr1,terr2,total
18,8.000000,1.000000,10000,0,0,10000,0,0,10000
18,8.000000,5.000000,10000,0,0,10000,0,0,10000
18,10.000000,7.000000,10000,0,0,10000,0,0,10000
18,10.000000,5.000000,10000,0,0,10000,0,0,10000
18,8.000000,9.000000,10000,0,0,10000,0,0,10000
18,10.000000,3.000000,10000,0,0,10000,0,0,10000
18,8.000000,7.000000,10000,0,0,10000,0,0,10000
18,8.000000,3.000000,10000,0,0,10000,0,0,10000
18,10.000000,1.000000,10000,0,0,10000,0,0,10000
18,10.000000,9.000000,10000,0,0,10000,0,0,10000
18,12.000000,7.000000,10000,0,0,10000,0,0,10000
18,12.000000,5.000000,10000,0,0,10000,0,0,10000
18,14.000000,1.000000,10000,0,0,10000,0,0,10000
18,12.000000,1.000000,10000,0,0,10000,0,0,10000
18,12.000000,3.000000,10000,0,0,10000,0,0,10000
18,14.000000,3.000000,10000,0,0,10000,0,0,10000
18,14.000000,5.000000,10000,0,0,10000,0,0,10000
18,12.000000,9.000000,10000,0,0,10000,0,0,10000
18,14.000000,9.000000,10000,0,0,10000,0,0,10000
18,14.000000,7.000000,10000,0,0,10000,0,0,10000
19,8.000000,3.000000,10000,0,0,10000,0,0,10000
19,6.000000,7.000000,10000,0,0,10000,0,0,10000
19,8.000000,1.000000,10000,0,0,10000,0,0,10000
19,6.000000,1.000000,10000,0,0,10000,0,0,10000
19,8.000000,9.000000,10000,0,0,10000,0,0,10000
19,8.000000,5.000000,10000,0,0,10000,0,0,10000
19,6.000000,9.000000,10000,0,0,10000,0,0,10000
19,6.000000,5.000000,10000,0,0,10000,0,0,10000
19,8.000000,7.000000,10000,0,0,10000,0,0,10000
19,6.000000,3.000000,10000,0,0,10000,0,0,10000
19,10.000000,9.000000,10000,0,0,10000,0,0,10000
19,10.000000,3.000000,10000,0,0,10000,0,0,10000
19,12.000000,1.000000,10000,0,0,10000,0,0,10000
19,10.000000,5.000000,10000,0,0,10000,0,0,10000
19,12.000000,5.000000,10000,0,0,10000,0,0,10000
19,10.000000,7.000000,10000,0,0,10000,0,0,10000
19,10.000000,1.000000,10000,0,0,10000,0,0,10000
19,12.000000,3.000000,10000,0,0,10000,0,0,10000
19,12.000000,7.000000,10000,0,0,10000,0,0,10000
19,12.000000,9.000000,10000,0,0,10000,0,0,10000
20,6.000000,3.000000,10000,0,0,10000,0,0,10000
20,6.000000,1.000000,10000,0,0,10000,0,0,10000
19,14.000000,3.000000,10000,0,0,10000,0,0,10000
19,14.000000,7.000000,10000,0,0,10000,0,0,10000
19,14.000000,1.000000,10000,0,0,10000,0,0,10000
19,14.000000,9.000000,10000,0,0,10000,0,0,10000
19,14.000000,5.000000,10000,0,0,10000,0,0,10000
20,6.000000,5.000000,10000,0,0,10000,0,0,10000
20,6.000000,9.000000,10000,0,0,10000,0,0,10000
